core_a,core_b,feature,cliffs_delta,p_value,q_value,direction
CORE01,CORE05,chr15q,0.20261438,0.41883038,0.76009958,higher_in_core_a
CORE01,CORE05,chr16p,-0.67320261,0.00598254,0.09771482,lower_in_core_a
CORE01,CORE05,chr16q,-0.35947712,0.1456101,0.44593093,lower_in_core_a
CORE01,CORE05,chr17p,-0.08496732,0.74640684,0.87080798,lower_in_core_a
CORE01,CORE05,chr17q,-0.01960784,0.95701738,0.97695524,higher_in_core_a
CORE01,CORE05,chr18p,0.12418301,0.62762581,0.83719833,higher_in_core_a
CORE01,CORE05,chr18q,0.11111111,0.66634153,0.83719833,higher_in_core_a
CORE01,CORE05,chr19p,0.05882353,0.82930952,0.94502713,higher_in_core_a
CORE01,CORE05,chr19q,-0.01960784,0.95701738,0.97695524,higher_in_core_a
CORE01,CORE05,chr20p,-0.32026144,0.19575369,0.50503557,lower_in_core_a
CORE01,CORE05,chr20q,-0.35947712,0.14554125,0.44593093,lower_in_core_a
CORE01,CORE05,chr21p,0.0,,,
CORE01,CORE05,chr21q,0.03267974,0.91415941,0.97695524,higher_in_core_a
CORE01,CORE05,chr22p,0.0,,,
CORE01,CORE05,chr22q,-0.01960784,0.95701004,0.97695524,higher_in_core_a
CORE01,CORE05,locus::VHL,-0.22875817,0.35953804,0.70469456,lower_in_core_a
CORE01,CORE05,locus::SETD2,-0.24183007,0.33197547,0.70469456,lower_in_core_a
CORE01,CORE05,locus::PBRM1,-0.22875817,0.35953804,0.70469456,lower_in_core_a
CORE01,CORE05,locus::BAP1,-0.22875817,0.35953804,0.70469456,lower_in_core_a
CORE01,CORE05,locus::JAK2,0.49019608,0.04613219,0.28498977,higher_in_core_a
CORE01,CORE05,locus::CDKN2A,0.54248366,0.0271212,0.28498977,higher_in_core_a
CORE01,CORE05,locus::PTEN,0.7124183,0.00360935,0.09771482,higher_in_core_a
CORE01,CORE05,fga,-0.4248366,0.08458195,0.37677414,lower_in_core_a
CORE01,CORE05,gain_burden,-0.26143791,0.29318171,0.70469456,lower_in_core_a
CORE01,CORE05,loss_burden,-0.39869281,0.10589897,0.43242079,lower_in_core_a
CORE01,CORE06,chr1p,0.27058824,0.40077466,1.0,higher_in_core_a
CORE01,CORE06,chr1q,0.17647059,0.59459254,1.0,lower_in_core_a
CORE01,CORE06,chr2p,0.2,0.54264449,1.0,higher_in_core_a
CORE01,CORE06,chr2q,0.45882353,0.13648846,0.45847954,higher_in_core_a
CORE01,CORE06,chr3p,-0.08235294,0.8200805,1.0,lower_in_core_a
CORE01,CORE06,chr3q,0.01176471,1.0,1.0,lower_in_core_a
CORE01,CORE06,chr4p,0.17647059,0.59459254,1.0,higher_in_core_a
CORE01,CORE06,chr4q,0.10588235,0.76160097,1.0,higher_in_core_a
CORE01,CORE06,chr5p,0.22352941,0.49289891,1.0,higher_in_core_a
CORE01,CORE06,chr5q,0.29411765,0.35869978,1.0,higher_in_core_a
CORE01,CORE06,chr6p,0.10588235,0.75392147,1.0,higher_in_core_a
CORE01,CORE06,chr6q,0.08235294,0.8200805,1.0,lower_in_core_a
CORE01,CORE06,chr7p,-0.50588235,0.101162,0.38130292,lower_in_core_a
CORE01,CORE06,chr7q,-0.50588235,0.101162,0.38130292,lower_in_core_a
CORE01,CORE06,chr8p,0.12941176,0.7043366,1.0,lower_in_core_a
CORE01,CORE06,chr8q,-0.05882353,0.87954735,1.0,lower_in_core_a
CORE01,CORE06,chr9p,0.55294118,0.07063112,0.35021133,higher_in_core_a
CORE01,CORE06,chr9q,0.55294118,0.07063112,0.35021133,higher_in_core_a
CORE01,CORE06,chr10p,0.08235294,0.8200805,1.0,higher_in_core_a
CORE01,CORE06,chr10q,0.45882353,0.14035088,0.45847954,higher_in_core_a
CORE01,CORE06,chr11p,0.17647059,0.59459254,1.0,higher_in_core_a
CORE01,CORE06,chr11q,0.17647059,0.59459254,1.0,higher_in_core_a
CORE01,CORE06,chr12p,-0.55294118,0.07063112,0.35021133,lower_in_core_a
CORE01,CORE06,chr12q,-0.52941176,0.08490924,0.37823207,lower_in_core_a
CORE01,CORE06,chr13p,0.0,,,
CORE01,CORE06,chr13q,-0.01176471,1.0,1.0,lower_in_core_a
CORE01,CORE06,chr14p,0.0,,,
CORE01,CORE06,chr14q,0.15294118,0.64859117,1.0,higher_in_core_a
CORE01,CORE06,chr15p,0.0,,,
CORE01,CORE06,chr15q,-0.10588235,0.76160097,1.0,lower_in_core_a
CORE01,CORE06,chr16p,-0.03529412,0.93962178,1.0,lower_in_core_a
CORE01,CORE06,chr16q,-0.03529412,0.93962178,1.0,lower_in_core_a
CORE01,CORE06,chr17p,0.17647059,0.59459254,1.0,lower_in_core_a
CORE01,CORE06,chr17q,0.17647059,0.59459254,1.0,lower_in_core_a
CORE01,CORE06,chr18p,0.10588235,0.76160097,1.0,higher_in_core_a
CORE01,CORE06,chr18q,0.10588235,0.76160097,1.0,higher_in_core_a
CORE01,CORE06,chr19p,0.2,0.54264449,1.0,higher_in_core_a
CORE01,CORE06,chr19q,0.12941176,0.7043366,1.0,lower_in_core_a
CORE01,CORE06,chr20p,-0.55294118,0.0714717,0.35021133,lower_in_core_a
CORE01,CORE06,chr20q,-0.55294118,0.0714717,0.35021133,lower_in_core_a
CORE01,CORE06,chr21p,0.0,,,
CORE01,CORE06,chr21q,0.12941176,0.7043366,1.0,higher_in_core_a
CORE01,CORE06,chr22p,0.0,,,
CORE01,CORE06,chr22q,-0.17647059,0.58329548,1.0,lower_in_core_a
CORE01,CORE06,locus::VHL,0.01176471,1.0,1.0,higher_in_core_a
CORE01,CORE06,locus::SETD2,0.01176471,1.0,1.0,lower_in_core_a
CORE01,CORE06,locus::PBRM1,0.01176471,1.0,1.0,higher_in_core_a
CORE01,CORE06,locus::BAP1,0.01176471,1.0,1.0,higher_in_core_a
CORE01,CORE06,locus::JAK2,0.57647059,0.05832764,0.35021133,higher_in_core_a
CORE01,CORE06,locus::CDKN2A,0.55294118,0.07063112,0.35021133,higher_in_core_a
CORE01,CORE06,locus::PTEN,0.43529412,0.1635908,0.50099682,higher_in_core_a
CORE01,CORE06,fga,-0.88235294,0.001443,0.070707,lower_in_core_a
CORE01,CORE06,gain_burden,-0.76470588,0.00858206,0.21026047,lower_in_core_a
CORE01,CORE06,loss_burden,-0.67058824,0.02460697,0.35021133,lower_in_core_a
CORE02,CORE03,chr1p,-0.30612245,0.17527214,0.35875921,lower_in_core_a
CORE02,CORE03,chr1q,-0.57142857,0.01076932,0.18635607,lower_in_core_a
CORE02,CORE03,chr2p,-0.23469388,0.30115286,0.47612037,lower_in_core_a
CORE02,CORE03,chr2q,-0.44897959,0.04560861,0.18635607,lower_in_core_a
CORE02,CORE03,chr3p,0.45918367,0.04088723,0.18635607,higher_in_core_a
CORE02,CORE03,chr3q,0.08163265,0.73038939,0.894727,higher_in_core_a
CORE02,CORE03,chr4p,0.04081633,0.87223763,0.92912269,higher_in_core_a
CORE02,CORE03,chr4q,0.09183673,0.69612599,0.894727,higher_in_core_a
CORE02,CORE03,chr5p,0.05102041,0.83619373,0.92912269,higher_in_core_a
CORE02,CORE03,chr5q,-0.44897959,0.04563822,0.18635607,lower_in_core_a
CORE02,CORE03,chr6p,-0.23469388,0.30121901,0.47612037,lower_in_core_a
CORE02,CORE03,chr6q,0.28571429,0.20638757,0.37455522,higher_in_core_a
CORE02,CORE03,chr7p,0.29591837,0.19036203,0.35875921,higher_in_core_a
CORE02,CORE03,chr7q,0.40816327,0.06953415,0.21890531,higher_in_core_a
CORE02,CORE03,chr8p,-0.20408163,0.37026357,0.5497853,lower_in_core_a
CORE02,CORE03,chr8q,-0.3877551,0.08488165,0.21890531,lower_in_core_a
CORE02,CORE03,chr9p,0.3877551,0.08488165,0.21890531,higher_in_core_a
CORE02,CORE03,chr9q,0.56122449,0.01227465,0.18635607,higher_in_core_a
CORE02,CORE03,chr10p,-0.29591837,0.19036203,0.35875921,lower_in_core_a
CORE02,CORE03,chr10q,-0.26530612,0.24133124,0.40776658,lower_in_core_a
CORE02,CORE03,chr11p,0.3877551,0.08488165,0.21890531,higher_in_core_a
CORE02,CORE03,chr11q,0.34693878,0.12374394,0.30317265,higher_in_core_a
CORE02,CORE03,chr12p,0.41836735,0.06276098,0.21890531,higher_in_core_a
CORE02,CORE03,chr12q,0.3877551,0.08488165,0.21890531,higher_in_core_a
CORE02,CORE03,chr13p,0.0,,,
CORE02,CORE03,chr13q,-0.14285714,0.53506445,0.74909023,lower_in_core_a
CORE02,CORE03,chr14p,0.0,,,
CORE02,CORE03,chr14q,0.64285714,0.00408232,0.18635607,higher_in_core_a
CORE02,CORE03,chr15p,0.0,,,
CORE02,CORE03,chr15q,-0.03061224,0.9085488,0.94607892,higher_in_core_a
CORE02,CORE03,chr16p,0.08163265,0.73038939,0.894727,lower_in_core_a
CORE02,CORE03,chr16q,0.07142857,0.76519954,0.91322023,lower_in_core_a
CORE02,CORE03,chr17p,-0.31632653,0.16103591,0.35867089,lower_in_core_a
CORE02,CORE03,chr17q,-0.2244898,0.32321381,0.49492115,lower_in_core_a
CORE02,CORE03,chr18p,0.29591837,0.19036203,0.35875921,higher_in_core_a
CORE02,CORE03,chr18q,0.26530612,0.24133124,0.40776658,higher_in_core_a
CORE02,CORE03,chr19p,-0.06632653,0.7827602,0.91322023,higher_in_core_a
CORE02,CORE03,chr19q,0.0255102,0.92677119,0.94607892,higher_in_core_a
CORE02,CORE03,chr20p,0.46938776,0.03656219,0.18635607,higher_in_core_a
CORE02,CORE03,chr20q,0.19387755,0.39530725,0.56970751,higher_in_core_a
CORE02,CORE03,chr21p,0.0,,,
CORE02,CORE03,chr21q,-0.12244898,0.5972229,0.79091681,lower_in_core_a
CORE02,CORE03,chr22p,0.0,,,
CORE02,CORE03,chr22q,0.04081633,0.87223763,0.92912269,lower_in_core_a
CORE02,CORE03,locus::VHL,0.45918367,0.04088723,0.18635607,higher_in_core_a
CORE02,CORE03,locus::SETD2,0.46938776,0.03656219,0.18635607,higher_in_core_a
CORE02,CORE03,locus::PBRM1,0.44897959,0.04563822,0.18635607,higher_in_core_a
CORE02,CORE03,locus::BAP1,0.44897959,0.04563822,0.18635607,higher_in_core_a
CORE02,CORE03,locus::JAK2,0.46938776,0.03656219,0.18635607,higher_in_core_a
CORE02,CORE03,locus::CDKN2A,0.40816327,0.06953415,0.21890531,higher_in_core_a
CORE02,CORE03,locus::PTEN,-0.32653061,0.14774294,0.34473353,lower_in_core_a
CORE02,CORE03,fga,0.04081633,0.87223763,0.92912269,higher_in_core_a
CORE02,CORE03,gain_burden,-0.01020408,0.98167114,0.98167114,higher_in_core_a
CORE02,CORE03,loss_burden,0.13265306,0.56573369,0.77002641,higher_in_core_a
CORE02,CORE04,chr1p,-0.37142857,0.13540392,0.27644967,lower_in_core_a
CORE02,CORE04,chr1q,-0.47142857,0.05703987,0.13309303,lower_in_core_a
CORE02,CORE04,chr2p,-0.65714286,0.00770372,0.0378133,lower_in_core_a
CORE02,CORE04,chr2q,-0.77142857,0.00172841,0.02625308,lower_in_core_a
CORE02,CORE04,chr3p,0.75714286,0.00211149,0.02625308,higher_in_core_a
CORE02,CORE04,chr3q,0.0,1.0,1.0,higher_in_core_a
CORE02,CORE04,chr4p,0.32857143,0.18768277,0.36785823,higher_in_core_a
CORE02,CORE04,chr4q,0.15714286,0.53867555,0.82484694,higher_in_core_a
CORE02,CORE04,chr5p,-0.61428571,0.01282669,0.05237565,lower_in_core_a
CORE02,CORE04,chr5q,-0.71428571,0.00375044,0.02625308,lower_in_core_a
CORE02,CORE04,chr6p,-0.04285714,0.88361746,0.94124469,higher_in_core_a
CORE02,CORE04,chr6q,0.05714286,0.83761977,0.93280383,higher_in_core_a
CORE02,CORE04,chr7p,0.05714286,0.83761977,0.93280383,higher_in_core_a
CORE02,CORE04,chr7q,0.17142857,0.50071126,0.79144683,higher_in_core_a
CORE02,CORE04,chr8p,0.52857143,0.03258001,0.09977628,higher_in_core_a
