core_a,core_b,clinical_variable,n_core_a,n_core_b,median_core_a,median_core_b,smd_a_vs_b,effect_size,p_value,q_value,level,core_a_count,core_a_total,core_b_count,core_b_total,core_a_fraction,core_b_fraction,frequency_difference,odds_ratio,ci_low,ci_high,core_a_n,core_b_n,core_a_events,core_b_events,core_a_median_time,core_b_median_time
CORE03,CORE05,t_stage,,,,,,,1.0,1.0,T3A,6,14,4,9,0.42857142857142855,0.4444444444444444,-0.015873015873015872,0.93464052,0.1866474,4.68023073,,,,,,
CORE03,CORE05,m_stage,,,,,,,0.65944272,1.0,M0,8,12,7,9,0.6666666666666666,0.7777777777777778,-0.11111111111111116,0.62962963,0.10084691,3.93104217,,,,,,
CORE03,CORE05,m_stage,,,,,,,0.65944272,1.0,M1,4,12,2,9,0.3333333333333333,0.2222222222222222,0.1111111111111111,1.58823529,0.25438547,9.91601986,,,,,,
CORE03,CORE05,grade,,,,,,,1.0,1.0,G2,4,14,2,9,0.2857142857142857,0.2222222222222222,0.06349206349206349,1.28571429,0.21086025,7.83960589,,,,,,
CORE03,CORE05,grade,,,,,,,0.22829452,1.0,G3,7,14,2,9,0.5,0.2222222222222222,0.2777777777777778,3.0,0.51972004,17.31701567,,,,,,
CORE03,CORE05,grade,,,,,,,0.17929735,1.0,G4,3,14,5,9,0.21428571428571427,0.5555555555555556,-0.3412698412698413,0.24901186,0.04426209,1.4009032,,,,,,
CORE03,CORE05,overall_survival,,,,,,,0.91220341,0.9703412,,,,,,,,,,,,14,9,4,3,1221.5,1218.0
CORE03,CORE06,age,14,5,58.0,57.0,0.21785728,0.21785728,0.78092622,1.0,,,,,,,,,,,,,,,,,
CORE03,CORE06,gender,,,,,,,0.25653595,0.95711502,FEMALE,5,14,0,5,0.35714285714285715,0.0,0.35714285714285715,6.36842105,0.29277703,138.52448142,,,,,,
CORE03,CORE06,gender,,,,,,,0.25653595,0.95711502,MALE,9,14,5,5,0.6428571428571429,1.0,-0.3571428571428571,0.15702479,0.00721894,3.41556846,,,,,,
CORE03,CORE06,stage_group,,,,,,,0.2621259,0.95711502,I,3,14,3,5,0.21428571428571427,0.6,-0.3857142857142857,0.2173913,0.02894198,1.63288674,,,,,,
CORE03,CORE06,stage_group,,,,,,,1.0,1.0,II,2,14,0,5,0.14285714285714285,0.0,0.14285714285714285,2.2,0.08987835,53.85056722,,,,,,
CORE03,CORE06,stage_group,,,,,,,0.25653595,0.95711502,III,5,14,0,5,0.35714285714285715,0.0,0.35714285714285715,6.36842105,0.29277703,138.52448142,,,,,,
CORE03,CORE06,stage_group,,,,,,,1.0,1.0,IV,4,14,2,5,0.2857142857142857,0.4,-0.11428571428571432,0.6,0.08425273,4.27285842,,,,,,
CORE03,CORE06,t_stage,,,,,,,1.0,1.0,T1A,1,14,0,5,0.07142857142857142,0.0,0.07142857142857142,1.22222222,0.04285016,34.8616506,,,,,,
CORE03,CORE06,t_stage,,,,,,,0.30469556,0.95711502,T1B,4,14,3,5,0.2857142857142857,0.6,-0.3142857142857143,0.30612245,0.04298609,2.18002981,,,,,,
CORE03,CORE06,t_stage,,,,,,,1.0,1.0,T2,2,14,1,5,0.14285714285714285,0.2,-0.05714285714285716,0.6,0.06056632,5.94389754,,,,,,
CORE03,CORE06,t_stage,,,,,,,1.0,1.0,T2B,1,14,0,5,0.07142857142857142,0.0,0.07142857142857142,1.22222222,0.04285016,34.8616506,,,,,,
CORE03,CORE06,t_stage,,,,,,,0.60268318,1.0,T3A,6,14,1,5,0.42857142857142855,0.2,0.22857142857142854,2.29411765,0.27776386,18.94766215,,,,,,
CORE03,CORE06,m_stage,,,,,,,1.0,1.0,M0,8,12,3,5,0.6666666666666666,0.6,0.06666666666666665,1.34920635,0.18537082,9.82008804,,,,,,
CORE03,CORE06,m_stage,,,,,,,1.0,1.0,M1,4,12,2,5,0.3333333333333333,0.4,-0.06666666666666671,0.74117647,0.10183208,5.39459231,,,,,,
CORE03,CORE06,grade,,,,,,,0.53044376,1.0,G2,4,14,0,5,0.2857142857142857,0.0,0.2857142857142857,4.71428571,0.21267556,104.49950101,,,,,,
CORE03,CORE06,grade,,,,,,,0.3378053,0.95711502,G3,7,14,4,5,0.5,0.8,-0.30000000000000004,0.33333333,0.04053664,2.74100435,,,,,,
