case_id,columns,error,exists,file_path,invalid_segment_mean_count,required_columns_present,segment_count,segment_mean_max,segment_mean_median,segment_mean_min
TCGA-BP-4977,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/dbd14803-738c-4444-b246-517d0ce9475b/NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_B01_697828.nocnv_grch38.seg.v2.txt,0,True,77,1.7198,-0.0295,-4.0539
TCGA-BP-4982,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/d583cee9-9d9b-4f3f-a288-4d4fb5089e57/NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_B08_697904.nocnv_grch38.seg.v2.txt,0,True,109,1.5791,-0.0002,-4.4526
TCGA-BP-4986,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/9c2b0a74-8d5f-4bf0-8f58-d53f92ae59c0/NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G03_697878.nocnv_grch38.seg.v2.txt,0,True,180,4.1227,-0.0354,-4.055
TCGA-BP-4988,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/4e211746-9674-4ef7-bee9-cda7d8543c69/NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_D11_697818.nocnv_grch38.seg.v2.txt,0,True,77,1.607,-0.026,-4.7312
TCGA-BP-4989,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/4878d7c9-1650-4a90-a2ff-329f0af30be4/NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H05_697868.nocnv_grch38.seg.v2.txt,0,True,236,1.8248,-0.07305,-4.472
TCGA-BP-4992,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/0f18a663-aa8e-491a-a729-10ff10bd3f9d/NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_F02_697852.nocnv_grch38.seg.v2.txt,0,True,77,0.7261,-0.0051,-4.0237
TCGA-BP-4994,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/9c68907a-97f4-4923-b920-ff00da5a7344/NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_C04_697932.nocnv_grch38.seg.v2.txt,0,True,134,2.1458,-0.1742,-3.0547
TCGA-BP-4995,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/31282378-0f3b-42bf-9ecd-6e2421e85fa4/NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_F11_697950.nocnv_grch38.seg.v2.txt,0,True,70,1.6622,0.029249999999999998,-5.3034
TCGA-BP-4999,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/8b2a8ace-c436-42ec-ae8b-0fd322f284f2/NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_G10_697940.nocnv_grch38.seg.v2.txt,0,True,79,1.5423,0.0049,-4.7884
TCGA-BP-5000,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/ac66cbea-662d-49db-9473-99308806aa74/NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_D12_697798.nocnv_grch38.seg.v2.txt,0,True,106,0.3123,0.03165,-4.6497
TCGA-BP-5001,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/90452207-4fa3-4455-8bac-665e5b59f0b8/NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_H06_697924.nocnv_grch38.seg.v2.txt,0,True,136,2.4776,-0.0248,-3.3941
TCGA-BP-5004,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/aaab9d1c-adc3-4815-96b3-49b29b9cf397/NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A07_697844.nocnv_grch38.seg.v2.txt,0,True,103,2.4568,0.0664,-2.9186
TCGA-BP-5006,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/f1c22800-02bc-49bb-b1a6-965f0de22232/NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_B09_697842.nocnv_grch38.seg.v2.txt,0,True,77,0.5105,0.003,-2.4555
TCGA-BP-5007,GDC_Aliquot|Chromosome|Start|End|Num_Probes|Segment_Mean,,True,/data/qijun/data/TCGA/KIRC/CNV/69af3a8f-e407-45d6-af0c-8950ca12ec5b/NARKY_p_TCGAb69_SNP_N_GenomeWideSNP_6_A02_697804.nocnv_grch38.seg.v2.txt,0,True,102,1.7083,-0.00025,-4.2387
