state_id,feature,n_core,n_rest,median_core,median_rest,mean_core,mean_rest,smd,p_value,q_value,cliffs_delta,direction
STATE_C,chr20p,14,55,0.02827642,0.0377,0.00965266,0.07402851,-0.55841722,0.13372625,0.62196854,-0.26233766,lower_in_core
STATE_C,chr20q,14,55,0.03685,0.0424,0.07801648,0.07742713,0.00627296,0.73707881,0.92503483,0.05974026,higher_in_core
STATE_C,chr21p,14,55,0.0,0.0,0.0,0.0,,,,0.0,
STATE_C,chr21q,14,55,0.0307,0.0206,0.03843465,0.01149424,0.17935091,0.56061919,0.85081484,0.1025974,higher_in_core
STATE_C,chr22p,14,55,0.0,0.0,0.0,0.0,,,,0.0,
STATE_C,chr22q,14,55,0.03048041,0.0259,0.02504619,0.02875451,-0.04201808,0.82289875,0.92503483,-0.04025974,lower_in_core
STATE_C,locus::VHL,14,55,-0.3077,-0.3836,-0.29288571,-0.35140727,0.26739378,0.12251144,0.62196854,0.27012987,higher_in_core
STATE_C,locus::SETD2,14,55,-0.32638383,-0.3863,-0.33227626,-0.35293512,0.0987423,0.2793555,0.72044313,0.18961039,higher_in_core
STATE_C,locus::PBRM1,14,55,-0.31295,-0.3863,-0.32983571,-0.35446182,0.1166481,0.2663058,0.72044313,0.19480519,higher_in_core
STATE_C,locus::BAP1,14,55,-0.31295,-0.3863,-0.32983571,-0.35446182,0.1166481,0.2663058,0.72044313,0.19480519,higher_in_core
STATE_C,locus::JAK2,14,55,-0.04115,0.0036,-0.10402143,-0.03885636,-0.34818527,0.42038956,0.7629292,-0.14155844,lower_in_core
STATE_C,locus::CDKN2A,14,55,-0.07545,0.0002,-0.15259286,-0.08110909,-0.34165702,0.37464611,0.7367215,-0.15584416,lower_in_core
STATE_C,locus::PTEN,14,55,0.0308,-0.0064,-0.00188571,-0.0676508,0.44750132,0.02425263,0.247063,0.39350649,higher_in_core
STATE_C,fga,14,55,0.15964633,0.13667985,0.17196884,0.17814164,-0.03696248,0.54564544,0.85081484,0.10649351,higher_in_core
