state_id,pathway,state_n,rest_n,tss_level_n,unadjusted_smd,tss_adjusted_beta,tss_adjusted_ci_low,tss_adjusted_ci_high,tss_adjusted_p_value,effect_attenuation,tss_levels,tss_adjusted_q_value
STATE_C,HALLMARK_HEME_METABOLISM,11,48,5,-0.01501122,-0.00982631,-0.03907514,0.01942252,0.50334024,0.34540228,B0;B8;BP;CJ;CZ,0.83359437
STATE_C,HALLMARK_HYPOXIA,11,48,5,-0.25148001,0.00518398,-0.03344615,0.04381412,0.78885032,0.9793861,B0;B8;BP;CJ;CZ,0.89642082
STATE_C,HALLMARK_IL2_STAT5_SIGNALING,11,48,5,0.19722929,0.01036542,-0.02772174,0.04845257,0.58745011,0.94744485,B0;B8;BP;CJ;CZ,0.83359437
STATE_C,HALLMARK_IL6_JAK_STAT3_SIGNALING,11,48,5,1.18188079,0.10236877,0.02512533,0.17961222,0.01036368,0.91338486,B0;B8;BP;CJ;CZ,0.057576
STATE_C,HALLMARK_INFLAMMATORY_RESPONSE,11,48,5,0.99205994,0.09538858,0.01532681,0.17545034,0.02044999,0.90384797,B0;B8;BP;CJ;CZ,0.0929545
STATE_C,HALLMARK_INTERFERON_ALPHA_RESPONSE,11,48,5,1.33544164,0.11591734,0.04392572,0.18790895,0.00213098,0.91319925,B0;B8;BP;CJ;CZ,0.02663725
STATE_C,HALLMARK_INTERFERON_GAMMA_RESPONSE,11,48,5,1.29630448,0.11263887,0.03761343,0.18766432,0.0039794,0.9131077,B0;B8;BP;CJ;CZ,0.039794
STATE_C,HALLMARK_KRAS_SIGNALING_DN,11,48,5,-0.8272254,-0.00683318,-0.03344924,0.01978289,0.60873759,0.99173964,B0;B8;BP;CJ;CZ,0.83359437
STATE_C,HALLMARK_KRAS_SIGNALING_UP,11,48,5,0.36074895,0.01196867,-0.03900787,0.06294521,0.6396271,0.96682272,B0;B8;BP;CJ;CZ,0.83359437
STATE_C,HALLMARK_MITOTIC_SPINDLE,11,48,5,-0.15299148,-0.02929044,-0.06530388,0.006723,0.10875316,0.80854858,B0;B8;BP;CJ;CZ,0.2718829
STATE_C,HALLMARK_MTORC1_SIGNALING,11,48,5,1.01424683,0.00833303,-0.02239635,0.03906241,0.58878604,0.99178402,B0;B8;BP;CJ;CZ,0.83359437
