feature,group_a,group_b,n_a,n_b,median_a,median_b,mean_a,mean_b,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,p_value,p_adjusted_holm
chr19q,CORE01,CORE03,21,12,0.0049,0.0335846,0.00792408,0.04171089,-0.83333333,-1.0,-0.6031746,9.186e-05,0.00055116
chr19q,CORE01,CORE04,21,9,0.0049,0.038,0.00792408,0.06154725,-0.32275132,-0.80952381,0.28042328,0.17451461,0.69805844
chr19q,CORE02,CORE03,14,12,0.01807431,0.0335846,0.07026175,0.04171089,-0.30952381,-0.73809524,0.17886905,0.1896624,0.69805844
chr19q,CORE02,CORE04,14,9,0.01807431,0.038,0.07026175,0.06154725,-0.03174603,-0.55555556,0.49206349,0.92471904,1.0
chr19q,CORE03,CORE04,12,9,0.0335846,0.038,0.04171089,0.06154725,0.05555556,-0.5,0.62962963,0.8589843,1.0
chr20p,CORE01,CORE02,21,14,0.0093,0.06710189,0.01760958,0.06228501,-0.45578231,-0.80272109,-0.08843537,0.02513456,0.1256728
chr20p,CORE01,CORE03,21,12,0.0093,0.03475,0.01760958,0.02878407,-0.3968254,-0.80952381,0.06349206,0.06393315,0.2557326
chr20p,CORE01,CORE04,21,9,0.0093,0.07351748,0.01760958,0.16061692,-0.57671958,-0.91534392,-0.15343915,0.01452095,0.0871257
chr20p,CORE02,CORE03,14,12,0.06710189,0.03475,0.06228501,0.02878407,0.21428571,-0.26220238,0.64285714,0.36806551,0.73613102
chr20p,CORE02,CORE04,14,9,0.06710189,0.07351748,0.06228501,0.16061692,-0.17460317,-0.68253968,0.33373016,0.50833157,0.73613102
chr20p,CORE03,CORE04,12,9,0.03475,0.07351748,0.02878407,0.16061692,-0.40740741,-0.83333333,0.11111111,0.12652782,0.37958346
chr20q,CORE01,CORE02,21,14,0.0094,0.08845,0.03283877,0.13426285,-0.56462585,-0.85714286,-0.19727891,0.00546754,0.0273377
chr20q,CORE01,CORE03,21,12,0.0094,0.04045,0.03283877,0.06873451,-0.65873016,-0.92063492,-0.35714286,0.00201683,0.01210098
chr20q,CORE01,CORE04,21,9,0.0094,0.08470396,0.03283877,0.1400608,-0.53439153,-0.91534392,-0.06878307,0.02363163,0.09452652
chr20q,CORE02,CORE03,14,12,0.08845,0.04045,0.13426285,0.06873451,0.17857143,-0.30952381,0.61934524,0.45578853,1.0
chr20q,CORE02,CORE04,14,9,0.08845,0.08470396,0.13426285,0.1400608,-0.01587302,-0.53968254,0.50793651,0.97487315,1.0
chr20q,CORE03,CORE04,12,9,0.04045,0.08470396,0.06873451,0.1400608,-0.24074074,-0.74074074,0.33333333,0.37435987,1.0
locus::VHL,CORE01,CORE02,21,14,-0.4651,-0.27405,-0.46338571,-0.22233571,-0.7755102,-0.95918367,-0.52380952,0.00013251,0.00079506
locus::VHL,CORE01,CORE03,21,12,-0.4651,-0.3181,-0.46338571,-0.31244167,-0.61111111,-0.88888889,-0.28571429,0.00419729,0.0188734
locus::VHL,CORE01,CORE04,21,9,-0.4651,-0.2005,-0.46338571,-0.1368,-0.68253968,-1.0,-0.25925926,0.00377468,0.0188734
locus::VHL,CORE02,CORE03,14,12,-0.27405,-0.3181,-0.22233571,-0.31244167,0.28571429,-0.17857143,0.66666667,0.22677444,0.49741968
locus::VHL,CORE02,CORE04,14,9,-0.27405,-0.2005,-0.22233571,-0.1368,-0.23809524,-0.73015873,0.28571429,0.36102477,0.49741968
locus::VHL,CORE03,CORE04,12,9,-0.3181,-0.2005,-0.31244167,-0.1368,-0.37037037,-0.81481481,0.18564815,0.16580656,0.49741968
locus::SETD2,CORE01,CORE02,21,14,-0.4562,-0.3117,-0.45984286,-0.28074769,-0.68707483,-0.93877551,-0.36054422,0.00071435,0.0042861
locus::SETD2,CORE01,CORE03,21,12,-0.4562,-0.31565,-0.45984286,-0.30956667,-0.62698413,-0.88888889,-0.29365079,0.00330562,0.016323
locus::SETD2,CORE01,CORE04,21,9,-0.4562,-0.2005,-0.45984286,-0.13361111,-0.69312169,-1.0,-0.24867725,0.0032646,0.016323
locus::SETD2,CORE02,CORE03,14,12,-0.3117,-0.31565,-0.28074769,-0.30956667,0.05952381,-0.40505952,0.48809524,0.81696132,0.81696132
locus::SETD2,CORE02,CORE04,14,9,-0.3117,-0.2005,-0.28074769,-0.13361111,-0.36507937,-0.80992063,0.14325397,0.15637572,0.46912716
