view,core_id,partition,best_jaccard,best_overlap_coefficient,best_recall,best_precision,jaccard_retention,delta_jaccard
RNA_only,CORE04,K4,0.29411765,0.90909091,0.90909091,0.3030303,1.66666667,0.11764706
RNA_only,CORE04,K5,0.42857143,0.81818182,0.81818182,0.47368421,0.54545454,-0.35714286
RNA_only,CORE04,K6,0.5,0.81818182,0.81818182,0.5625,0.54545454,-0.41666667
RNA_only,CORE04,K7,0.43478261,0.90909091,0.90909091,0.45454545,0.59288538,-0.29855072
RNA_only,CORE04,K8,0.33333333,0.55555556,0.45454545,0.55555556,0.33333333,-0.66666667
RNA_only,CORE05,K2,0.09803922,1.0,1.0,0.09803922,1.25490202,0.01991422
RNA_only,CORE05,K3,0.12121212,0.8,0.8,0.125,1.29292928,0.02746212
RNA_only,CORE05,K4,0.16,0.8,0.8,0.16666667,0.92800002,-0.01241379
RNA_only,CORE05,K5,0.14814815,0.8,0.8,0.15384615,0.62222223,-0.08994709
RNA_only,CORE05,K6,0.17391304,0.8,0.8,0.18181818,0.69565216,-0.07608696
RNA_only,CORE05,K7,0.15789474,0.6,0.6,0.17647059,0.28421053,-0.39766082
RNA_only,CORE05,K8,0.1875,0.6,0.6,0.21428571,0.46875,-0.2125
WSI_only,CORE01,K2,0.24528302,0.72222222,0.72222222,0.27083333,0.53144655,-0.21625544
WSI_only,CORE01,K3,0.26,0.72222222,0.72222222,0.28888889,0.50555556,-0.25428571
WSI_only,CORE01,K4,0.26,0.72222222,0.72222222,0.28888889,0.47666666,-0.28545455
WSI_only,CORE01,K5,0.26530612,0.72222222,0.72222222,0.29545455,0.47165532,-0.29719388
WSI_only,CORE01,K6,0.26530612,0.72222222,0.72222222,0.29545455,0.28004535,-0.6820623
WSI_only,CORE01,K7,0.26530612,0.72222222,0.72222222,0.29545455,0.31212485,-0.58469388
WSI_only,CORE01,K8,0.2826087,0.72222222,0.72222222,0.31707317,0.38858696,-0.44466403
WSI_only,CORE02,K2,0.16981132,0.64285714,0.64285714,0.1875,0.77628032,-0.04893868
WSI_only,CORE02,K3,0.18,0.64285714,0.64285714,0.2,0.54000001,-0.15333333
WSI_only,CORE02,K4,0.18,0.64285714,0.64285714,0.2,0.37285714,-0.30275862
WSI_only,CORE02,K5,0.18367347,0.64285714,0.64285714,0.20454545,0.2755102,-0.4829932
WSI_only,CORE02,K6,0.18367347,0.64285714,0.64285714,0.20454545,0.2967033,-0.43537415
WSI_only,CORE02,K7,0.18367347,0.64285714,0.64285714,0.20454545,0.18367347,-0.81632653
WSI_only,CORE02,K8,0.17021277,0.57142857,0.57142857,0.19512195,0.19639935,-0.6964539
WSI_only,CORE03,K2,0.13793103,0.72727273,0.72727273,0.14545455,0.62835246,-0.08158117
WSI_only,CORE03,K3,0.13793103,0.72727273,0.72727273,0.14545455,0.43887147,-0.17635468
WSI_only,CORE03,K4,0.16666667,0.72727273,0.72727273,0.17777778,0.50000002,-0.16666666
WSI_only,CORE03,K5,0.16666667,0.72727273,0.72727273,0.17777778,0.48484849,-0.17708333
WSI_only,CORE03,K6,0.18604651,0.72727273,0.72727273,0.2,0.25369979,-0.54728682
WSI_only,CORE03,K7,0.25,0.44444444,0.36363636,0.44444444,0.27272727,-0.66666667
WSI_only,CORE03,K8,0.23529412,0.4,0.36363636,0.4,0.27807487,-0.61085973
WSI_only,CORE04,K2,0.15789474,0.81818182,0.81818182,0.16363636,0.91866031,-0.01398026
WSI_only,CORE04,K3,0.15789474,0.81818182,0.81818182,0.16363636,0.94736842,-0.00877193
WSI_only,CORE04,K4,0.19148936,0.81818182,0.81818182,0.2,1.08510636,0.01501877
WSI_only,CORE04,K5,0.19148936,0.81818182,0.81818182,0.2,0.24371373,-0.59422493
WSI_only,CORE04,K6,0.18604651,0.72727273,0.72727273,0.2,0.20295983,-0.73062016
WSI_only,CORE04,K7,0.16216216,0.54545455,0.54545455,0.1875,0.22113022,-0.57117117
WSI_only,CORE04,K8,0.16666667,0.3,0.27272727,0.3,0.16666667,-0.83333333
WSI_only,CORE05,K2,0.06,0.6,0.6,0.0625,0.768,-0.018125
WSI_only,CORE05,K3,0.33333333,0.66666667,0.4,0.66666667,3.55555552,0.23958333
WSI_only,CORE05,K4,0.33333333,0.66666667,0.4,0.66666667,1.93333335,0.16091954
WSI_only,CORE05,K5,0.33333333,0.66666667,0.4,0.66666667,1.39999997,0.09523809
WSI_only,CORE05,K6,0.33333333,0.66666667,0.4,0.66666667,1.33333332,0.08333333
WSI_only,CORE05,K7,0.33333333,0.66666667,0.4,0.66666667,0.59999999,-0.22222223
WSI_only,CORE05,K8,0.33333333,0.66666667,0.4,0.66666667,0.83333332,-0.06666667
CT_only,CORE01,K2,0.17647059,1.0,1.0,0.17647059,0.38235295,-0.28506787
CT_only,CORE01,K3,0.16666667,0.66666667,0.66666667,0.18181818,0.32407408,-0.34761904
CT_only,CORE01,K4,0.2037037,0.61111111,0.61111111,0.23404255,0.37345678,-0.34175085
CT_only,CORE01,K5,0.18867925,0.55555556,0.55555556,0.22222222,0.33542978,-0.37382075
CT_only,CORE01,K6,0.16666667,0.4,0.22222222,0.4,0.17592593,-0.78070175
CT_only,CORE01,K7,0.19047619,0.57142857,0.22222222,0.57142857,0.22408964,-0.65952381
CT_only,CORE01,K8,0.14285714,0.5,0.16666667,0.5,0.19642857,-0.58441559
CT_only,CORE02,K2,0.1372549,1.0,1.0,0.1372549,0.62745097,-0.0814951
CT_only,CORE02,K3,0.14285714,0.71428571,0.71428571,0.15151515,0.42857142,-0.19047619
CT_only,CORE02,K4,0.1875,0.42857143,0.42857143,0.25,0.38839286,-0.29525862
CT_only,CORE02,K5,0.14705882,0.35714286,0.35714286,0.2,0.22058823,-0.51960785
CT_only,CORE02,K6,0.15151515,0.35714286,0.35714286,0.20833333,0.24475524,-0.46753247
CT_only,CORE02,K7,0.16666667,0.35714286,0.35714286,0.23809524,0.16666667,-0.83333333
CT_only,CORE02,K8,0.14705882,0.35714286,0.35714286,0.2,0.16968325,-0.71960785
CT_only,CORE03,K2,0.09708738,0.90909091,0.90909091,0.09803922,0.44228694,-0.12242482
CT_only,CORE03,K3,0.1,0.63636364,0.63636364,0.10606061,0.31818182,-0.21428571
CT_only,CORE03,K4,0.16,0.72727273,0.72727273,0.17021277,0.48,-0.17333333
CT_only,CORE03,K5,0.16666667,0.72727273,0.72727273,0.17777778,0.48484849,-0.17708333
CT_only,CORE03,K6,0.33333333,0.54545455,0.54545455,0.46153846,0.45454545,-0.4
CT_only,CORE03,K7,0.14634146,0.54545455,0.54545455,0.16666667,0.15964523,-0.77032521
CT_only,CORE03,K8,0.33333333,0.54545455,0.54545455,0.46153846,0.39393939,-0.51282052
CT_only,CORE04,K2,0.10784314,1.0,1.0,0.10784314,0.627451,-0.06403186
CT_only,CORE04,K3,0.11594203,0.72727273,0.72727273,0.12121212,0.69565217,-0.05072464
CT_only,CORE04,K4,0.1372549,0.63636364,0.63636364,0.14893617,0.77777776,-0.03921569
CT_only,CORE04,K5,0.14285714,0.63636364,0.63636364,0.15555556,0.18181818,-0.64285715
CT_only,CORE04,K6,0.23529412,0.4,0.36363636,0.4,0.25668449,-0.68137255
CT_only,CORE04,K7,0.13636364,0.27272727,0.27272727,0.21428571,0.18595042,-0.59696969
CT_only,CORE04,K8,0.15151515,0.45454545,0.45454545,0.18518519,0.15151515,-0.84848485
CT_only,CORE05,K2,0.04901961,1.0,1.0,0.04901961,0.62745101,-0.02910539
CT_only,CORE05,K3,0.13888889,1.0,1.0,0.13888889,1.48148149,0.04513889
CT_only,CORE05,K4,0.11538462,0.6,0.6,0.125,0.66923081,-0.05702917
CT_only,CORE05,K5,0.11111111,0.6,0.6,0.12,0.46666666,-0.12698413
CT_only,CORE05,K6,0.11538462,0.6,0.6,0.125,0.46153848,-0.13461538
CT_only,CORE05,K7,0.16666667,0.5,0.2,0.5,0.3,-0.38888889
CT_only,CORE05,K8,0.11111111,0.6,0.6,0.12,0.27777778,-0.28888889
GENOMIC_only,CORE01,K2,0.20967742,0.72222222,0.72222222,0.22807018,0.45430108,-0.25186104
GENOMIC_only,CORE01,K3,0.19565217,0.5,0.5,0.24324324,0.38043478,-0.31863354
GENOMIC_only,CORE01,K4,0.23809524,0.55555556,0.55555556,0.29411765,0.43650794,-0.30735931
GENOMIC_only,CORE01,K5,0.28,0.5,0.38888889,0.5,0.49777778,-0.2825
GENOMIC_only,CORE01,K6,0.28,0.5,0.38888889,0.5,0.29555556,-0.66736842
