core_id,pathway,n_core,n_rest,median_core,median_rest,mean_core,mean_rest,smd,direction,p_value,q_value,available_n_core,available_n_rest
CORE03,HALLMARK_FATTY_ACID_METABOLISM,11,92,0.45027083,0.40168172,0.44480162,0.40478926,0.83323531,up,0.00679282,0.03773789,11,92
CORE03,HALLMARK_G2M_CHECKPOINT,11,92,0.08316316,0.09478854,0.0884374,0.1090963,-0.42736908,down,0.18022265,0.30619782,11,92
CORE03,HALLMARK_GLYCOLYSIS,11,92,0.38139672,0.39640964,0.35462127,0.3947736,-1.12888152,down,0.06393878,0.13320579,11,92
CORE03,HALLMARK_HEDGEHOG_SIGNALING,11,92,0.13532809,0.13288744,0.12669833,0.13439212,-0.1687622,down,0.58238171,0.69331156,11,92
CORE03,HALLMARK_HEME_METABOLISM,11,92,0.33603171,0.31399405,0.33577408,0.31125539,0.93163451,up,0.00255718,0.03061264,11,92
CORE03,HALLMARK_HYPOXIA,11,92,0.44827222,0.46419707,0.41660401,0.45858172,-1.03614441,down,0.01604657,0.05730918,11,92
CORE03,HALLMARK_IL2_STAT5_SIGNALING,11,92,0.26308011,0.28425484,0.24521091,0.27948645,-0.86646046,down,0.04883118,0.11379027,11,92
CORE03,HALLMARK_IL6_JAK_STAT3_SIGNALING,11,92,0.22999901,0.32244524,0.22428751,0.31503577,-1.17626733,down,0.0036176,0.03061264,11,92
CORE03,HALLMARK_INFLAMMATORY_RESPONSE,11,92,0.11970438,0.20952832,0.11791447,0.20314108,-1.08777955,down,0.01604657,0.05730918,11,92
CORE03,HALLMARK_INTERFERON_ALPHA_RESPONSE,11,92,0.37720955,0.41677877,0.34674469,0.4264651,-1.09338754,down,0.0180231,0.05965328,11,92
CORE03,HALLMARK_INTERFERON_GAMMA_RESPONSE,11,92,0.28418513,0.36469545,0.27987517,0.36700044,-1.15709245,down,0.0115596,0.048165,11,92
CORE03,HALLMARK_KRAS_SIGNALING_DN,11,92,-0.14305996,-0.15554595,-0.14320736,-0.15523148,0.40844285,up,0.13081002,0.2384873,11,92
CORE03,HALLMARK_KRAS_SIGNALING_UP,11,92,0.17797499,0.21197298,0.16711182,0.20054838,-0.63070194,down,0.13355289,0.2384873,11,92
CORE03,HALLMARK_MITOTIC_SPINDLE,11,92,0.17254159,0.17864263,0.17781855,0.17488914,0.07510294,up,0.8769563,0.89381925,11,92
CORE03,HALLMARK_MTORC1_SIGNALING,11,92,0.42325147,0.4294257,0.42113608,0.42818878,-0.20676626,down,0.35567702,0.48064462,11,92
CORE03,HALLMARK_MYC_TARGETS_V1,11,92,0.55600823,0.56201256,0.55927492,0.56196988,-0.10781438,down,0.68100133,0.74021884,11,92
CORE03,HALLMARK_MYC_TARGETS_V2,11,92,0.19080634,0.23023243,0.20240667,0.23743789,-0.64888387,down,0.02392293,0.06645258,11,92
CORE03,HALLMARK_MYOGENESIS,11,92,0.2418177,0.26240702,0.24816246,0.25474156,-0.16467592,down,0.59711527,0.69432008,11,92
CORE03,HALLMARK_NOTCH_SIGNALING,11,92,0.29368988,0.32163751,0.30029307,0.31393994,-0.29164578,down,0.47765649,0.61238012,11,92
CORE03,HALLMARK_OXIDATIVE_PHOSPHORYLATION,11,92,0.64440386,0.57512076,0.62106215,0.57393569,1.03066406,up,0.05006772,0.11379027,11,92
CORE03,HALLMARK_P53_PATHWAY,11,92,0.36053429,0.38155829,0.34921866,0.37938912,-1.1633296,down,0.00540951,0.03380944,11,92
CORE03,HALLMARK_PANCREAS_BETA_CELLS,11,92,0.32870529,0.25400341,0.29822806,0.2578153,0.41012344,up,0.19820565,0.31968653,11,92
CORE03,HALLMARK_PEROXISOME,11,92,0.36456274,0.35261615,0.36325634,0.34933675,0.3995578,up,0.33387149,0.4637104,11,92
CORE03,HALLMARK_PI3K_AKT_MTOR_SIGNALING,11,92,0.32379672,0.32007854,0.3185536,0.32137386,-0.13102486,down,0.89381925,0.89381925,11,92
CORE03,HALLMARK_PROTEIN_SECRETION,11,92,0.49248861,0.45853313,0.49517203,0.44883726,0.84938804,up,0.00428577,0.03061264,11,92
CORE03,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,11,92,0.498433,0.51370302,0.49612002,0.51157286,-0.61414359,down,0.05947846,0.129301,11,92
CORE03,HALLMARK_SPERMATOGENESIS,11,92,-0.17161171,-0.17483882,-0.15293543,-0.16669101,0.37516984,up,0.52521197,0.6405024,11,92
CORE03,HALLMARK_TGF_BETA_SIGNALING,11,92,0.48450402,0.47715317,0.47101378,0.466661,0.07788628,up,0.76088514,0.79258869,11,92
CORE03,HALLMARK_TNFA_SIGNALING_VIA_NFKB,11,92,0.34226909,0.41307134,0.31903228,0.40418031,-1.23782778,down,0.00199325,0.03061264,11,92
CORE03,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,11,92,0.41679375,0.42927601,0.41923239,0.4283954,-0.28332137,down,0.24664112,0.38537675,11,92
CORE03,HALLMARK_UV_RESPONSE_DN,11,92,0.27450652,0.24229741,0.26097606,0.23540208,0.47099856,up,0.12284317,0.23623687,11,92
CORE03,HALLMARK_UV_RESPONSE_UP,11,92,0.39324709,0.40253117,0.38701754,0.40376426,-0.93224172,down,0.00387259,0.03061264,11,92
CORE03,HALLMARK_WNT_BETA_CATENIN_SIGNALING,11,92,0.14170259,0.15866008,0.13468055,0.15745107,-0.37996355,down,0.18371869,0.30619782,11,92
CORE03,HALLMARK_XENOBIOTIC_METABOLISM,11,92,0.34095109,0.34494913,0.32709039,0.33673785,-0.23927172,down,0.49774425,0.62218031,11,92
CORE04,HALLMARK_ADIPOGENESIS,11,92,0.45604856,0.47175681,0.46336587,0.46644624,-0.09352973,down,0.56782015,0.7886391,11,92
CORE04,HALLMARK_ALLOGRAFT_REJECTION,11,92,0.38130565,0.22780578,0.33290997,0.23477322,1.0227192,up,0.0041438,0.02302111,11,92
CORE04,HALLMARK_ANDROGEN_RESPONSE,11,92,0.39383533,0.40485774,0.39792641,0.39680147,0.02118617,up,0.7366053,0.83705148,11,92
CORE04,HALLMARK_ANGIOGENESIS,11,92,0.41347299,0.47476643,0.38303037,0.46538882,-1.04373324,down,0.00577618,0.02625536,11,92
CORE04,HALLMARK_APICAL_JUNCTION,11,92,0.27384912,0.29746771,0.2629073,0.29181981,-0.72816001,down,0.04883118,0.11626471,11,92
