core_a,core_b,feature,fisher_p,q_value,odds_ratio,ci_low,ci_high,core_a_frequency,core_b_frequency,frequency_difference
CORE02,CORE05,mutation::PIK3CA,1.0,1.0,2.2,0.08987835,53.85056722,0.14285714285714285,0.0,0.14285714285714285
CORE02,CORE05,mutation::PTEN,1.0,1.0,2.2,0.08987835,53.85056722,0.14285714285714285,0.0,0.14285714285714285
CORE02,CORE05,mutation::SETD2,0.46783626,1.0,0.33333333,0.02730492,4.06927107,0.07142857142857142,0.2,-0.1285714285714286
CORE02,CORE05,mutation::SPTA1,1.0,1.0,0.37931034,0.00666812,21.57673143,0.0,0.0,0.0
CORE02,CORE05,mutation::TP53,0.26315789,1.0,0.10344828,0.00355439,3.01079927,0.0,0.2,-0.2
CORE02,CORE05,mutation::TSC1,1.0,1.0,0.37931034,0.00666812,21.57673143,0.0,0.0,0.0
CORE02,CORE05,mutation::TSC2,1.0,1.0,1.22222222,0.04285016,34.8616506,0.07142857142857142,0.0,0.07142857142857142
CORE02,CORE05,mutation::TTN,0.26315789,1.0,0.10344828,0.00355439,3.01079927,0.0,0.2,-0.2
CORE02,CORE05,mutation::VHL,1.0,1.0,1.23376623,0.17851468,8.52691264,0.6428571428571429,0.6,0.04285714285714293
CORE03,CORE04,mutation::ARID1A,1.0,1.0,1.0,0.01823686,54.83401542,0.0,0.0,0.0
CORE03,CORE04,mutation::ATM,1.0,1.0,1.0,0.01823686,54.83401542,0.0,0.0,0.0
CORE03,CORE04,mutation::BAP1,0.03508772,0.77192984,0.0513834,0.00243177,1.08573255,0.0,0.45454545454545453,-0.45454545454545453
CORE03,CORE04,mutation::CDKN2A,1.0,1.0,1.0,0.01823686,54.83401542,0.0,0.0,0.0
CORE03,CORE04,mutation::DST,1.0,1.0,1.0,0.01823686,54.83401542,0.0,0.0,0.0
CORE03,CORE04,mutation::ELOC,1.0,1.0,1.0,0.01823686,54.83401542,0.0,0.0,0.0
CORE03,CORE04,mutation::FLG,1.0,1.0,1.0,0.01823686,54.83401542,0.0,0.0,0.0
