pathway,SUBTYPE01,SUBTYPE02,SUBTYPE03,SUBTYPE04,SUBTYPE05
KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,1.4084226735511995,-1.886293168253371,-1.0673965209434315,2.218303886443643,-0.9986014480793403
KEGG_MEDICUS_REFERENCE_TYPE_II_INTERFERON_TO_JAK_STAT_SIGNALING_PATHWAY,1.04748560967209,-1.6150385348311798,-0.5944597442216503,2.066850474763562,-0.7925936029440243
KEGG_MEDICUS_REFERENCE_TYPE_I_IFN_SIGNALING_PATHWAY,0.5341471283552066,-1.5838682793812098,0.6383225248288583,2.188958949687074,-1.6084396312094191
KEGG_MEDICUS_REFERENCE_TYPE_I_INTERFERON_TO_JAK_STAT_SIGNALING_PATHWAY,0.8086814808047612,-1.648391515920169,0.6621916357011748,1.934364987425518,-1.2639067655491443
KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_WNT_ACYLATION,-1.5807042808962415,-1.743748120878271,0.8296847887129711,1.496741950121437,1.122024496248959
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,-1.8031857469569716,-1.854660248978912,-1.8361387523130464,1.8370329552769435,1.8160109908436017
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ANTEROGRADE_AXONAL_TRANSPORT,-1.5349072851766048,-1.1186440506498656,-1.830572981548022,1.1581987821945654,1.0014364314588042
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I,-1.7321943408835043,-1.4245125688278468,-2.162755413468112,1.5724030645339995,1.8866462458070483
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_IV,-1.755090467338374,-1.409857861779312,-1.897615678983731,1.616366432294124,1.5996758273037046
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_DCTN1_TO_RETROGRADE_AXONAL_TRANSPORT,-1.7742612288885171,-1.138535784943759,-1.6964839641505292,1.3204479482073215,0.8964615335987606
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,-1.8537811807078157,-1.847483703629472,-1.8539257528622768,1.9358201401115607,1.8114879840037372
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_ANTEROGRADE_AXONAL_TRANSPORT,-1.7258301376296945,-0.8034034398066389,-1.6071802892360512,1.2557996294161966,1.0237854632622236
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_PSEN_TO_MGLUR5_CA2_APOPTOTIC_PATHWAY,-1.1005391698225824,-1.0138903780806399,-0.9613967990924697,-1.085532661687301,1.7832713279749077
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,-1.784962832281236,-1.9191512428646091,-1.8680060872161723,1.8921497744913587,1.8470271658962218
