feature,reference_population,group_count,available_n,kruskal_p,epsilon_squared,q_value
wavelet-LLH_gldm_DependenceNonUniformityNormalized,core,5,79,0.10007452878336934,0.0510482054983635,0.14097185943168125
wavelet-LLH_gldm_DependenceVariance,core,5,79,0.00028271739497207966,0.233085063990918,0.001099456536002532
wavelet-LLH_gldm_LargeDependenceHighGrayLevelEmphasis,core,5,79,5.228497900763333e-06,0.3494476550054083,4.956180301765243e-05
wavelet-LLH_gldm_SmallDependenceLowGrayLevelEmphasis,core,5,79,0.00044041551049364415,0.21995053705892267,0.0016031124581968646
wavelet-LLH_ngtdm_Busyness,core,5,79,0.0038454704644781865,0.15479236104631597,0.009208889796513551
wavelet-LLH_ngtdm_Contrast,core,5,79,2.8607392779276662e-05,0.3002333029231765,0.0001783063522543956
wavelet-LLH_ngtdm_Strength,core,5,79,0.009156115921347782,0.12809988030320282,0.019072250056569026
wavelet-LHL_firstorder_Energy,core,5,79,0.00038443781302095563,0.22398424568123917,0.0014699092850801244
wavelet-LHL_firstorder_Kurtosis,core,5,79,0.9056462463756829,0.0,0.9136785855896579
wavelet-LHL_firstorder_Maximum,core,5,79,1.5339336759422997e-07,0.45052216917723226,8.258099582883417e-06
wavelet-LHL_firstorder_Mean,core,5,79,0.3570878736655547,0.005127036918967224,0.39920143124773316
wavelet-LHL_firstorder_Skewness,core,5,79,0.10416753286603204,0.049684403909087356,0.14319101949862412
wavelet-LHL_glcm_Autocorrelation,core,5,79,3.468635612265439e-07,0.42726084506543394,1.1273065739862676e-05
wavelet-LHL_glcm_ClusterShade,core,5,79,0.20928705896363994,0.02523255994774952,0.2552965464569871
wavelet-LHL_glcm_Correlation,core,5,79,0.012911733898145485,0.11738983769442571,0.02511332266919036
wavelet-LHL_glcm_Idmn,core,5,79,0.8239385962718758,0.0,0.8368126368386238
wavelet-LHL_glcm_Imc1,core,5,79,1.0740721394458413e-05,0.32865237216502985,8.57373374469926e-05
