feature,group_a,group_b,n_a,n_b,median_a,median_b,cliffs_delta,ci_low,ci_high,p_value,p_adjusted_holm
wavelet-LHH_glszm_SizeZoneNonUniformityNormalized,SUBTYPE01,SUBTYPE05,10,27,-0.5612607513953417,-0.6927828049175736,0.07407407407407407,-0.3111111111111111,0.45925925925925926,0.7452327913775464,1.0
wavelet-LHH_glszm_SizeZoneNonUniformityNormalized,SUBTYPE02,SUBTYPE03,15,11,0.9328456063538941,-0.2761177753152538,0.44242424242424244,0.03000000000000002,0.8181818181818182,0.06170669002831265,0.37024014016987594
wavelet-LHH_glszm_SizeZoneNonUniformityNormalized,SUBTYPE02,SUBTYPE04,15,16,0.9328456063538941,0.1426278151095329,0.26666666666666666,-0.1752083333333333,0.6833333333333333,0.21307778331415017,0.8523111332566007
wavelet-LHH_glszm_SizeZoneNonUniformityNormalized,SUBTYPE02,SUBTYPE05,15,27,0.9328456063538941,-0.6927828049175736,0.5703703703703704,0.24925925925925926,0.837037037037037,0.0025361748546414435,0.025361748546414434
wavelet-LHH_glszm_SizeZoneNonUniformityNormalized,SUBTYPE03,SUBTYPE04,11,16,-0.2761177753152538,0.1426278151095329,-0.375,-0.7840909090909091,0.057102272727271176,0.10876756967904058,0.5438378483952029
wavelet-LHH_glszm_SizeZoneNonUniformityNormalized,SUBTYPE03,SUBTYPE05,11,27,-0.2761177753152538,-0.6927828049175736,0.18181818181818182,-0.19865319865319866,0.5622895622895623,0.3936067705228117,1.0
wavelet-LHH_glszm_SizeZoneNonUniformityNormalized,SUBTYPE04,SUBTYPE05,16,27,0.1426278151095329,-0.6927828049175736,0.5370370370370371,0.24537037037037038,0.8009259259259259,0.0037047401069038853,0.033342660962134965
wavelet-LHH_glszm_SmallAreaEmphasis,SUBTYPE01,SUBTYPE02,10,15,-0.0833527176663843,1.025013522756186,-0.4266666666666667,-0.84,0.02666666666666667,0.08058433908583035,0.3909696341288657
wavelet-LHH_glszm_SmallAreaEmphasis,SUBTYPE01,SUBTYPE03,10,11,-0.0833527176663843,-0.34482732376293723,0.21818181818181817,-0.3090909090909091,0.6909090909090909,0.4180519085356006,0.8361038170712012
wavelet-LHH_glszm_SmallAreaEmphasis,SUBTYPE01,SUBTYPE04,10,16,-0.0833527176663843,0.5150205718201251,-0.5125,-0.9,-0.0625,0.03279881386554563,0.22959169705881943
wavelet-LHH_glszm_SmallAreaEmphasis,SUBTYPE01,SUBTYPE05,10,27,-0.0833527176663843,-0.5616885523828392,0.3851851851851852,0.014814814814814815,0.6964814814814805,0.07819392682577314,0.3909696341288657
wavelet-LHH_glszm_SmallAreaEmphasis,SUBTYPE02,SUBTYPE03,15,11,1.025013522756186,-0.34482732376293723,0.5636363636363636,0.17575757575757575,0.8787878787878788,0.01696816772045429,0.13574534176363431
wavelet-LHH_glszm_SmallAreaEmphasis,SUBTYPE02,SUBTYPE04,15,16,1.025013522756186,0.5150205718201251,0.26666666666666666,-0.16666666666666666,0.675,0.21307778331415017,0.6392333499424505
wavelet-LHH_glszm_SmallAreaEmphasis,SUBTYPE02,SUBTYPE05,15,27,1.025013522756186,-0.5616885523828392,0.7086419753086419,0.42703703703703705,0.9259259259259259,0.00017421116494447032,0.0015679004845002328
wavelet-LHH_glszm_SmallAreaEmphasis,SUBTYPE03,SUBTYPE04,11,16,-0.34482732376293723,0.5150205718201251,-0.4772727272727273,-0.8636363636363636,-0.03409090909090909,0.04057228330796049,0.24343369984776295
wavelet-LHH_glszm_SmallAreaEmphasis,SUBTYPE03,SUBTYPE05,11,27,-0.34482732376293723,-0.5616885523828392,0.15151515151515152,-0.3,0.5488215488215489,0.4788748764820906,0.8361038170712012
wavelet-LHH_glszm_SmallAreaEmphasis,SUBTYPE04,SUBTYPE05,16,27,0.5150205718201251,-0.5616885523828392,0.7268518518518519,0.47685185185185186,0.9212962962962963,8.416832933763602e-05,0.0008416832933763602
wavelet-LHH_glszm_SmallAreaLowGrayLevelEmphasis,SUBTYPE01,SUBTYPE02,10,15,-0.024606702007695436,0.7486078618395748,-0.44,-0.8,0.013333333333333334,0.0714234577298521,0.5713876618388168
wavelet-LHH_glszm_SmallAreaLowGrayLevelEmphasis,SUBTYPE01,SUBTYPE03,10,11,-0.024606702007695436,-0.07852110111397147,0.0,-0.5272727272727272,0.509090909090909,1.0,1.0
wavelet-LHH_glszm_SmallAreaLowGrayLevelEmphasis,SUBTYPE01,SUBTYPE04,10,16,-0.024606702007695436,-1.0432183855635464,0.2,-0.25,0.6125,0.41397315940843393,1.0
wavelet-LHH_glszm_SmallAreaLowGrayLevelEmphasis,SUBTYPE01,SUBTYPE05,10,27,-0.024606702007695436,0.032711480272442965,-0.02962962962962963,-0.4224074074074074,0.34833333333333233,0.9047228011047952,1.0
