feature,group_a,group_b,n_a,n_b,frequency_a,frequency_b,frequency_difference,odds_ratio,ci_low,ci_high,fisher_p,p_adjusted_holm
chr5q::loss,CORE01,CORE02,18,14,0.0,0.0,0.0,0.78378378,0.01464809,41.93836444,1.0,1.0
chr5q::loss,CORE01,CORE03,18,11,0.0,0.0,0.0,0.62162162,0.01151712,33.55121378,1.0,1.0
chr5q::loss,CORE01,CORE04,18,11,0.0,0.0,0.0,0.62162162,0.01151712,33.55121378,1.0,1.0
chr5q::loss,CORE01,CORE05,18,5,0.0,0.2,-0.2,0.08108108,0.00280967,2.33982447,0.2173913,1.0
chr5q::loss,CORE02,CORE03,14,11,0.0,0.0,0.0,0.79310345,0.01458921,43.1149501,1.0,1.0
chr5q::loss,CORE02,CORE04,14,11,0.0,0.0,0.0,0.79310345,0.01458921,43.1149501,1.0,1.0
chr5q::loss,CORE02,CORE05,14,5,0.0,0.2,-0.2,0.10344828,0.00355439,3.01079927,0.26315789,1.0
chr5q::loss,CORE03,CORE04,11,11,0.0,0.0,0.0,1.0,0.01823686,54.83401542,1.0,1.0
chr5q::loss,CORE03,CORE05,11,5,0.0,0.2,-0.2,0.13043478,0.00443598,3.83528324,0.3125,1.0
chr5q::loss,CORE04,CORE05,11,5,0.0,0.2,-0.2,0.13043478,0.00443598,3.83528324,0.3125,1.0
chr5q::gain,CORE01,CORE02,18,14,0.5555555555555556,0.35714285714285715,0.19841269841269843,2.13368984,0.53364201,8.53124796,0.30752156,1.0
chr5q::gain,CORE01,CORE03,18,11,0.5555555555555556,0.36363636363636365,0.19191919191919193,2.05882353,0.46972521,9.0239022,0.44972514,1.0
chr5q::gain,CORE01,CORE04,18,11,0.5555555555555556,0.36363636363636365,0.19191919191919193,2.05882353,0.46972521,9.0239022,0.44972514,1.0
chr5q::gain,CORE01,CORE05,18,5,0.5555555555555556,0.2,0.35555555555555557,3.70588235,0.47359586,28.99848858,0.31677019,1.0
chr5q::gain,CORE02,CORE03,14,11,0.35714285714285715,0.36363636363636365,-0.006493506493506496,0.96491228,0.20049921,4.64368761,1.0,1.0
