feature,group_a,group_b,n_a,n_b,median_a,median_b,mean_a,mean_b,cliffs_delta,cliffs_delta_ci_low,cliffs_delta_ci_high,p_value,p_adjusted_holm
locus::PBRM1,CORE01,CORE04,18,11,-0.418,-0.3196,-0.45307222,-0.29117273,-0.61616162,-0.8989899,-0.26262626,0.00654256,1.0
locus::PBRM1,CORE01,CORE05,18,5,-0.418,-0.2934,-0.45307222,-0.21152,-0.73333333,-1.0,-0.28888889,0.01170911,1.0
locus::PBRM1,CORE02,CORE03,14,11,-0.29325,-0.3523,-0.30837857,-0.24134545,-0.02597403,-0.53246753,0.51980519,0.93455341,1.0
locus::PBRM1,CORE02,CORE04,14,11,-0.29325,-0.3196,-0.30837857,-0.29117273,-0.06493506,-0.50649351,0.38961039,0.80540976,1.0
locus::PBRM1,CORE02,CORE05,14,5,-0.29325,-0.2934,-0.30837857,-0.21152,-0.17142857,-0.71428571,0.45714286,0.62160303,1.0
locus::PBRM1,CORE03,CORE04,11,11,-0.3523,-0.3196,-0.24134545,-0.29117273,-0.07438017,-0.61983471,0.45454545,0.79281262,1.0
locus::PBRM1,CORE03,CORE05,11,5,-0.3523,-0.2934,-0.24134545,-0.21152,-0.16363636,-0.70909091,0.41818182,0.66117216,1.0
locus::PBRM1,CORE04,CORE05,11,5,-0.3196,-0.2934,-0.29117273,-0.21152,-0.2,-0.78272727,0.49090909,0.58333333,1.0
locus::BAP1,CORE01,CORE02,18,14,-0.418,-0.29325,-0.45307222,-0.30837857,-0.48412698,-0.8015873,-0.11111111,0.02155013,0.2155013
locus::BAP1,CORE01,CORE03,18,11,-0.418,-0.3523,-0.45307222,-0.24134545,-0.32323232,-0.72727273,0.15176768,0.1568283,1.0
