gene_name,mad
CDH16,0.8785438822173921
CST7,0.8781651393642136
TNFRSF19,0.8776252399309632
KLHDC7A,0.8774136146586837
AMN,0.87692494103716
RGS1,0.8768243891081866
NEBL,0.876098100599632
CALCRL,0.8754294030146088
CD5L,0.8754176114153751
PABPC4L,0.8750480305224431
TEK,0.8744945598052163
INHBA,0.8741966341873826
TNFRSF21,0.8738061134863928
H2AW,0.8736890961898922
STEAP1,0.8734091485190931
ITM2A,0.8732760418883254
C11orf86,0.8727729917311129
EPHA7,0.871564732177128
DNAJB13,0.8703034651500703
HHLA2,0.870048177884037
LAMB3,0.8697452310153122
MXRA8,0.8696495423176849
AOC3,0.8695886416035918
GPX3,0.8695398174435169
GJB2,0.8686616303951156
CLDN10,0.8685445667356584
ENTPD5,0.8685380473340834
PRUNE2,0.8685313726866699
CD34,0.8675010951562871
GPR37,0.8672865630826511
ANK3,0.8670566594987563
COX4I2,0.8666681776953187
OLFML1,0.866536227352515
GRIA4,0.8664021474156111
IL1B,0.8658749511421497
TRIB3,0.8657019189961916
KLF4,0.8656973911520374
SPARCL1,0.865508478224637
CIT,0.8654450643955576
CD27,0.8652348581452292
GPRIN2,0.8650327885706912
HEYL,0.8649582800955278
SOX9,0.8639721178661599
HLA-DOA,0.8635490827430203
KCNK9,0.8633552079757267
OR2T10,0.8629932128574529
PCDHB16,0.8629144518073701
DNAJC6,0.862585567569546
FCGR3A,0.8624316765067226
ACSS3,0.8622600437657506
ART5,0.8622233727885706
PDZD2,0.8620995983488964
NTRK2,0.8620254002467236
ANO9,0.8618398176139035
GJA1,0.861574992587891
KIF12,0.8615260287494033
PLCB4,0.8614248568331604
PHYHD1,0.8613604063898865
FN1,0.8610524392276666
PCDHB11,0.8602310699166977
PLPP1,0.8600574635783653
NR3C2,0.8600025609902047
SLC4A4,0.8595720143347831
SORL1,0.8589534185491647
HLA-DQB1,0.8585387878587403
CDON,0.8584247800096856
SOCS3,0.8582050035467379
COL21A1,0.8581988627413171
CKB,0.8578516847837943
ADGRA2,0.8577450753884426
RAMP3,0.857523105626889
F3,0.8574356065243509
SCN9A,0.8568182041677921
ENPP5,0.8563825887484509
ADH1B,0.8563451538109419
HMCN1,0.8558295388804962
GATM,0.8557435711603549
PDE10A,0.855314776357935
ALOX15B,0.8552751837999031
IL33,0.8545014139990825
EHHADH,0.8534177942682488
RBM24,0.8534075023883112
