feature,group_count,available_n,group_sizes,comparison_status,not_estimable_reason,kruskal_h,p_value,q_value,epsilon_squared
wavelet-LHL_firstorder_Kurtosis,4,69,17;14;14;24,estimable,,3.25268455,0.35428255,0.50753035,0.00388745
wavelet-LHL_firstorder_Maximum,4,69,17;14;14;24,estimable,,5.21454408,0.15674461,0.27745598,0.03406991
wavelet-LHL_firstorder_Mean,4,69,17;14;14;24,estimable,,0.81415436,0.84607859,0.86864069,0.0
wavelet-LHL_firstorder_Minimum,4,69,17;14;14;24,estimable,,6.07302747,0.10811083,0.20682072,0.04727735
wavelet-LHL_firstorder_Skewness,4,69,17;14;14;24,estimable,,1.14610366,0.76595772,0.82777185,0.0
wavelet-LHL_firstorder_Variance,4,69,17;14;14;24,estimable,,1.08282965,0.78122061,0.83258113,0.0
wavelet-LHL_glcm_Correlation,4,69,17;14;14;24,estimable,,1.45944639,0.6916612,0.7663009,0.0
wavelet-LHL_glcm_Idm,4,69,17;14;14;24,estimable,,4.32828349,0.22812801,0.36405921,0.02043513
wavelet-LHL_glcm_Idmn,4,69,17;14;14;24,estimable,,10.69564869,0.01349077,0.07289749,0.1183946
wavelet-LHL_glcm_Imc1,4,69,17;14;14;24,estimable,,4.55419646,0.20750673,0.33702167,0.02391071
wavelet-LHL_glcm_Imc2,4,69,17;14;14;24,estimable,,1.82733615,0.60900443,0.72702854,0.0
wavelet-LHL_glrlm_LongRunHighGrayLevelEmphasis,4,69,17;14;14;24,estimable,,9.60856951,0.02220398,0.09852555,0.1016703
wavelet-LHL_glrlm_RunEntropy,4,69,17;14;14;24,estimable,,5.78188754,0.12271774,0.22907311,0.04279827
wavelet-LHL_glrlm_ShortRunLowGrayLevelEmphasis,4,69,17;14;14;24,estimable,,8.06358282,0.04471576,0.1375426,0.07790127
wavelet-LHL_glszm_SizeZoneNonUniformityNormalized,4,69,17;14;14;24,estimable,,7.16038328,0.06695775,0.16473855,0.0640059
wavelet-LHL_glszm_ZoneEntropy,4,69,17;14;14;24,estimable,,12.940424,0.00476723,0.0475578,0.1529296
wavelet-LHL_glszm_ZonePercentage,4,69,17;14;14;24,estimable,,0.9055196,0.8240956,0.86041168,0.0
wavelet-LHL_gldm_LargeDependenceEmphasis,4,69,17;14;14;24,estimable,,4.22495607,0.23817516,0.37619461,0.01884548
wavelet-LHL_gldm_LargeDependenceHighGrayLevelEmphasis,4,69,17;14;14;24,estimable,,10.47438454,0.01493567,0.07375671,0.11499053
wavelet-LHL_gldm_SmallDependenceLowGrayLevelEmphasis,4,69,17;14;14;24,estimable,,7.55823373,0.05608091,0.15561189,0.07012667
wavelet-LHL_ngtdm_Contrast,4,69,17;14;14;24,estimable,,8.34439863,0.03940526,0.13050344,0.08222152
wavelet-LHH_firstorder_10Percentile,4,69,17;14;14;24,estimable,,3.73651983,0.29135678,0.44424697,0.01133107
wavelet-LHH_firstorder_Kurtosis,4,69,17;14;14;24,estimable,,4.97911077,0.17333316,0.29495366,0.03044786
wavelet-LHH_firstorder_Mean,4,69,17;14;14;24,estimable,,0.99965203,0.80133615,0.8481496,0.0
wavelet-LHH_firstorder_Median,4,69,17;14;14;24,estimable,,1.70136141,0.63663116,0.7484061,0.0
wavelet-LHH_firstorder_Skewness,4,69,17;14;14;24,estimable,,7.61520173,0.05467115,0.15540518,0.0710031
wavelet-LHH_firstorder_Uniformity,4,69,17;14;14;24,estimable,,1.43554465,0.69722442,0.76969578,0.0
wavelet-LHH_glcm_ClusterShade,4,69,17;14;14;24,estimable,,1.96354629,0.58000718,0.7060957,0.0
wavelet-LHH_glcm_Correlation,4,69,17;14;14;24,estimable,,4.14829845,0.24588944,0.38482141,0.01766613
wavelet-LHH_glcm_Idmn,4,69,17;14;14;24,estimable,,3.0665762,0.38147391,0.53116669,0.00102425
wavelet-LHH_glcm_Imc1,4,69,17;14;14;24,estimable,,5.15325695,0.1609128,0.2815974,0.03312703
wavelet-LHH_glcm_Imc2,4,69,17;14;14;24,estimable,,2.16747917,0.53838233,0.67407219,0.0
wavelet-LHH_glcm_InverseVariance,4,69,17;14;14;24,estimable,,2.2338431,0.52531313,0.67135454,0.0
wavelet-LHH_glrlm_LongRunEmphasis,4,69,17;14;14;24,estimable,,15.23469562,0.00162668,0.03731232,0.18822609
wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis,4,69,17;14;14;24,estimable,,2.11405606,0.54907437,0.67917633,0.0
wavelet-LHH_glrlm_LongRunLowGrayLevelEmphasis,4,69,17;14;14;24,estimable,,10.90190424,0.01226832,0.06870259,0.12156776
wavelet-LHH_glrlm_RunEntropy,4,69,17;14;14;24,estimable,,3.31818206,0.34512005,0.50048284,0.00489511
wavelet-LHH_glrlm_RunLengthNonUniformityNormalized,4,69,17;14;14;24,estimable,,7.18835012,0.06613066,0.16426003,0.06443616
wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,4,69,17;14;14;24,estimable,,7.28876159,0.06324185,0.1626087,0.06598095
wavelet-LHH_glszm_SizeZoneNonUniformityNormalized,4,69,17;14;14;24,estimable,,1.5635576,0.66768082,0.76448213,0.0
wavelet-LHH_glszm_SmallAreaEmphasis,4,69,17;14;14;24,estimable,,3.54472224,0.31500795,0.46870748,0.00838034
wavelet-LHH_glszm_SmallAreaHighGrayLevelEmphasis,4,69,17;14;14;24,estimable,,0.95900273,0.81117068,0.85169089,0.0
wavelet-LHH_glszm_ZoneEntropy,4,69,17;14;14;24,estimable,,1.17830697,0.75821176,0.82240567,0.0
wavelet-LHH_gldm_DependenceEntropy,4,69,17;14;14;24,estimable,,1.62768325,0.65312925,0.75910871,0.0
wavelet-LHH_gldm_DependenceNonUniformityNormalized,4,69,17;14;14;24,estimable,,2.17550672,0.53678888,0.67407219,0.0
wavelet-LHH_gldm_DependenceVariance,4,69,17;14;14;24,estimable,,4.58686431,0.20467183,0.33662529,0.0244133
wavelet-LHH_gldm_LargeDependenceHighGrayLevelEmphasis,4,69,17;14;14;24,estimable,,0.88013988,0.83021767,0.86089082,0.0
wavelet-LHH_gldm_SmallDependenceLowGrayLevelEmphasis,4,69,17;14;14;24,estimable,,3.13493049,0.37128577,0.52456889,0.00207585
wavelet-LHH_ngtdm_Strength,4,69,17;14;14;24,estimable,,5.07986499,0.16604158,0.28855781,0.03199792
wavelet-HLL_firstorder_10Percentile,4,69,17;14;14;24,estimable,,2.22148599,0.52772871,0.67165472,0.0
wavelet-HLL_firstorder_Kurtosis,4,69,17;14;14;24,estimable,,4.71112184,0.19421421,0.32334041,0.02632495
wavelet-HLL_firstorder_Maximum,4,69,17;14;14;24,estimable,,1.89683439,0.59409266,0.71757074,0.0
wavelet-HLL_firstorder_Mean,4,69,17;14;14;24,estimable,,2.92083123,0.4039932,0.55549065,0.0
wavelet-HLL_firstorder_Median,4,69,17;14;14;24,estimable,,2.54986864,0.46634608,0.61911462,0.0
wavelet-HLL_firstorder_Minimum,4,69,17;14;14;24,estimable,,2.1838057,0.53514518,0.67407219,0.0
wavelet-HLL_firstorder_Skewness,4,69,17;14;14;24,estimable,,1.24216208,0.74291087,0.81386514,0.0
wavelet-HLL_firstorder_Variance,4,69,17;14;14;24,estimable,,0.54983733,0.90781361,0.92279403,0.0
wavelet-HLL_glcm_Correlation,4,69,17;14;14;24,estimable,,2.53037911,0.46982591,0.62105743,0.0
wavelet-HLL_glcm_Idmn,4,69,17;14;14;24,estimable,,4.03810289,0.25737899,0.39636364,0.01597081
wavelet-HLL_glcm_Imc1,4,69,17;14;14;24,estimable,,4.57759452,0.20547258,0.33662529,0.02427068
wavelet-HLL_glcm_Imc2,4,69,17;14;14;24,estimable,,2.4068062,0.49236891,0.63987183,0.0
wavelet-HLL_glcm_MCC,4,69,17;14;14;24,estimable,,1.50871044,0.68026143,0.76534425,0.0
wavelet-HLL_glrlm_LongRunHighGrayLevelEmphasis,4,69,17;14;14;24,estimable,,10.21365677,0.01683461,0.07977015,0.11097933
wavelet-HLL_glrlm_RunEntropy,4,69,17;14;14;24,estimable,,7.59707361,0.05511598,0.15540518,0.07072421
wavelet-HLL_glrlm_RunVariance,4,69,17;14;14;24,estimable,,8.94851767,0.02998326,0.11244557,0.09151566
wavelet-HLL_glrlm_ShortRunLowGrayLevelEmphasis,4,69,17;14;14;24,estimable,,5.75653479,0.12407519,0.2302118,0.04240823
wavelet-HLL_glszm_LargeAreaHighGrayLevelEmphasis,4,69,17;14;14;24,estimable,,11.61359065,0.00883115,0.06325568,0.13251678
wavelet-HLL_glszm_SizeZoneNonUniformityNormalized,4,69,17;14;14;24,estimable,,5.62087792,0.1315849,0.23981153,0.0403212
wavelet-HLL_gldm_LargeDependenceHighGrayLevelEmphasis,4,69,17;14;14;24,estimable,,5.85512814,0.11887527,0.22325356,0.04392505
